Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9947498,45.72727272727273,0.58919877,-0.6404762282257989,-0.6404762282257989,1.0
2000,2.9947917,53.27777777777778,0.5181885,-1.530555589331521,-1.530555589331521,1.0
3000,2.994865,48.523809523809526,0.54540455,-1.1047619070325578,-1.1047619070325578,1.0
4000,2.9949265,56.470588235294116,0.47022566,-1.4117647339315975,-1.4117647339315975,1.0
5000,2.9872096,54.758620689655174,0.40265587,-1.3411766132887672,-1.3411766132887672,1.0
6000,2.9752994,52.142857142857146,0.37331066,-0.7605263653554415,-0.7605263653554415,1.0
7000,2.9744039,55.0,0.30610055,-1.144444516963429,-1.144444516963429,1.0
8000,2.975691,54.22222222222222,0.35610428,-1.0083333949247997,-1.0083333949247997,1.0
9000,2.9758706,46.86363636363637,0.34097388,-0.6295453906059265,-0.6295453906059265,1.0
10000,2.956995,47.407407407407405,0.40363407,-0.8906250521540642,-0.8906250521540642,1.0
11000,2.9393632,48.23076923076923,0.25673714,-0.46458330502112705,-0.46458330502112705,1.0
12000,2.9431598,34.89655172413793,0.22667234,-0.09285712029252734,-0.09285712029252734,1.0
13000,2.936066,46.85,0.28138426,-0.41904771895635695,-0.41904771895635695,1.0
14000,2.9197896,42.904761904761905,0.27659103,-0.5652173770510632,-0.5652173770510632,1.0
15000,2.886118,39.75,0.1812994,-0.3891304251940354,-0.3891304251940354,1.0
16000,2.8891387,38.5,0.2686197,0.17222225224530255,0.17222225224530255,1.0
17000,2.89459,32.32142857142857,0.13640831,-0.24107150627034052,-0.24107150627034052,1.0
18000,2.8894424,32.56666666666667,0.22608346,0.21000000437100727,0.21000000437100727,1.0
19000,2.861371,36.81578947368421,0.26424244,-0.07500000641896175,-0.07500000641896175,1.0
20000,2.8124182,30.77777777777778,0.21597213,0.23999998768170674,0.23999998768170674,1.0
21000,2.8367093,34.333333333333336,0.21874997,0.04642857611179352,0.04642857611179352,1.0
22000,2.834846,27.942857142857143,0.22359979,0.37428571156093055,0.37428571156093055,1.0
23000,2.8118896,31.36,0.16427122,0.12343749403953552,0.12343749403953552,1.0
24000,2.7376688,30.846153846153847,0.23239537,0.1283333400885264,0.1283333400885264,1.0
25000,2.753653,27.058823529411764,0.32220757,0.5814285657235554,0.5814285657235554,1.0
26000,2.7628891,27.428571428571427,0.17589085,0.16857142448425294,0.16857142448425294,1.0
27000,2.7558408,28.228571428571428,0.29673135,0.40882352871053357,0.40882352871053357,1.0
28000,2.7412694,27.91176470588235,0.26088113,0.5157142758369446,0.5157142758369446,1.0
29000,2.6963253,26.08108108108108,0.3393383,0.5243243285127588,0.5243243285127588,1.0
30000,2.699283,26.486486486486488,0.27309492,0.45000000902124354,0.45000000902124354,1.0
31000,2.6751962,26.513513513513512,0.28182325,0.4959459482012568,0.4959459482012568,1.0
32000,2.6477306,27.6,0.33123553,0.4803030409596183,0.4803030409596183,1.0
33000,2.6414142,23.925925925925927,0.41960457,0.6705128199014908,0.6705128199014908,1.0
34000,2.6491199,28.88235294117647,0.4093152,0.4102940910002765,0.4102940910002765,1.0
35000,2.6400607,25.13157894736842,0.45901915,0.7934210496513467,0.7934210496513467,1.0
36000,2.6209848,24.29824561403509,0.43740207,0.7349999904632568,0.7349999904632568,1.0
37000,2.5341284,21.76,0.56440765,0.878048771038288,0.878048771038288,1.0
38000,2.571144,23.45,0.55051714,0.8475609639795815,0.8475609639795815,1.0
39000,2.6169043,23.609756097560975,0.46240368,0.6817073211437319,0.6817073211437319,1.0
40000,2.5996168,24.53846153846154,0.46229187,0.7333332819816394,0.7333332819816394,1.0
41000,2.568947,24.463414634146343,0.61827815,0.6287500031292439,0.6287500031292439,1.0
42000,2.5498555,22.463414634146343,0.62442654,0.7154761893408639,0.7154761893408639,1.0
43000,2.5119438,20.73913043478261,0.64798665,1.0195652168730032,1.0195652168730032,1.0
44000,2.495871,18.76,0.6657369,1.0909999883174897,1.0909999883174897,1.0
45000,2.4441798,20.361702127659573,0.6324099,0.9680850873602197,0.9680850873602197,1.0
46000,2.3867884,19.520833333333332,0.6351613,0.9581632583725209,0.9581632583725209,1.0
47000,2.3587306,20.76595744680851,0.63755786,0.9097825949606688,0.9097825949606688,1.0
48000,2.3874915,19.25,0.6194196,0.9193877565617464,0.9193877565617464,1.0
49000,2.31448,28.952380952380953,0.6604223,1.0833333255279631,1.0833333255279631,1.0
50000,2.3160193,18.945945945945947,0.79974663,0.48513506715362137,0.48513506715362137,1.0
