Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9983888,42.708333333333336,-0.41465694,-1.343478218368862,-1.343478218368862,1.0
2000,3.029518,37.52173913043478,-0.17939489,-1.2020833889643352,-1.2020833889643352,1.0
3000,3.0460927,51.26315789473684,-0.1663124,-1.6078946966873973,-1.6078946966873973,1.0
4000,3.029008,38.53846153846154,-0.2808273,-1.2865384966135025,-1.2865384966135025,1.0
5000,3.0056424,47.61764705882353,-0.23463131,-1.53809521595637,-1.53809521595637,1.0
6000,3.0642202,51.714285714285715,-0.37033647,-1.4625000178813934,-1.4625000178813934,1.0
7000,3.002022,57.588235294117645,-0.44356847,-1.9147059952511507,-1.9147059952511507,1.0
8000,2.9476402,46.523809523809526,-0.3355535,-1.4499999994323367,-1.4499999994323367,1.0
9000,2.9424276,50.6,-0.24394047,-1.2175000473856925,-1.2175000473856925,1.0
10000,2.956319,55.4,-0.376929,-1.6529414338224075,-1.6529414338224075,1.0
11000,2.954461,38.92307692307692,-0.5128692,-1.5023809671401978,-1.5023809671401978,1.0
12000,2.9971232,53.77777777777778,-0.5460966,-1.5722222295072343,-1.5722222295072343,1.0
13000,2.947256,45.81818181818182,-0.55122614,-1.8409091789614072,-1.8409091789614072,1.0
14000,2.9411502,47.048780487804876,-0.5910269,-1.2499999663104182,-1.2499999663104182,1.0
15000,2.9006646,27.0,-0.41389287,-1.586111158132553,-1.586111158132553,1.0
16000,2.9427621,37.17391304347826,-0.5079151,-0.9482142691101346,-0.9482142691101346,1.0
17000,2.8945546,50.8421052631579,-0.40368843,-1.2184210482396578,-1.2184210482396578,1.0
18000,2.9986048,41.68,-0.5502128,-0.972000002861023,-0.972000002861023,1.0
19000,2.9849737,42.45161290322581,-0.6940147,-1.8142857239359902,-1.8142857239359902,1.0
20000,2.8996599,53.18181818181818,-0.41838795,-1.2452381608032046,-1.2452381608032046,1.0
21000,2.9290926,42.130434782608695,-0.6784809,-1.4521739392176918,-1.4521739392176918,1.0
22000,2.9470425,44.36363636363637,-0.35436794,-1.0386363809758967,-1.0386363809758967,1.0
23000,2.9375837,39.88,-0.48690173,-1.2900000405311585,-1.2900000405311585,1.0
24000,2.9342377,43.111111111111114,-0.7032428,-1.5666666797229223,-1.5666666797229223,1.0
25000,2.8800726,41.78947368421053,-0.37606433,-0.5499999952316285,-0.5499999952316285,1.0
26000,2.9079711,43.30434782608695,-0.48275873,-1.2695652194645093,-1.2695652194645093,1.0
27000,2.8510582,63.5,-0.2981324,-1.5400002042452494,-1.5400002042452494,1.0
28000,2.864203,38.94871794871795,-0.42706344,-0.9900000083446503,-0.9900000083446503,1.0
29000,2.9252777,53.63636363636363,-0.38549972,-0.7680000019073486,-0.7680000019073486,1.0
30000,2.8900104,45.666666666666664,-0.7097173,-2.066666775279575,-2.066666775279575,1.0
31000,2.924847,50.63157894736842,-0.7651769,-1.5400000274181367,-1.5400000274181367,1.0
32000,2.860581,41.68181818181818,-0.37806568,-0.9818181964484128,-0.9818181964484128,1.0
33000,2.8503804,42.05882352941177,-0.42293957,-0.838636342774738,-0.838636342774738,1.0
34000,2.8890262,30.375,-0.36740595,-0.60517241420417,-0.60517241420417,1.0
35000,2.9247973,44.59090909090909,-0.5838289,-1.018181865865534,-1.018181865865534,1.0
36000,2.871979,46.36363636363637,-0.6902166,-1.2750001007860357,-1.2750001007860357,1.0
37000,2.8891864,40.09090909090909,-0.6279513,-0.963999981880188,-0.963999981880188,1.0
38000,2.93686,61.5,-0.41183326,-1.0190476576487224,-1.0190476576487224,1.0
39000,2.9415512,39.3,-0.8075746,-1.2826087552568186,-1.2826087552568186,1.0
40000,2.8433988,40.916666666666664,-0.55873936,-0.8604167525966963,-0.8604167525966963,1.0
41000,2.9556055,58.64705882352941,-0.71019435,-1.8705882640445934,-1.8705882640445934,1.0
42000,2.8614318,53.09090909090909,-0.3780542,-1.6111113131046295,-1.6111113131046295,1.0
43000,2.8346238,24.0,-0.5304276,-1.0304347717243691,-1.0304347717243691,1.0
44000,2.8543017,41.61538461538461,-0.39756775,-0.6942307926141299,-0.6942307926141299,1.0
45000,2.8721137,41.38095238095238,-0.6458192,-1.0404762128988903,-1.0404762128988903,1.0
46000,2.8517091,39.48,-0.5032953,-1.0460000395774842,-1.0460000395774842,1.0
47000,2.9241529,44.833333333333336,-0.9217623,-1.6785715577148257,-1.6785715577148257,1.0
48000,2.8568168,46.76190476190476,-0.30466935,-0.6187500407298406,-0.6187500407298406,1.0
49000,2.8000917,45.3,-0.27905464,-1.1736842644842047,-1.1736842644842047,1.0
50000,2.84363,41.08695652173913,-0.43749496,-1.0437502165635426,-1.0437502165635426,1.0
51000,2.8737729,49.78378378378378,-0.4804228,-1.2050000578165054,-1.2050000578165054,1.0
52000,2.875545,112.0,-0.85066044,-1.8555557247665193,-1.8555557247665193,1.0
53000,2.8743935,52.8235294117647,-0.6377063,-2.2294117913526645,-2.2294117913526645,1.0
54000,2.8183131,39.958333333333336,-0.23243527,-0.5920000863075257,-0.5920000863075257,1.0
55000,2.7726345,37.5,-0.46743742,-0.7403846268470471,-0.7403846268470471,1.0
56000,2.797476,43.63636363636363,-0.5367479,-1.1431818455457687,-1.1431818455457687,1.0
57000,2.7462041,62.42857142857143,-0.46100724,-1.0260000610351563,-1.0260000610351563,1.0
58000,2.6838493,34.166666666666664,-0.13920814,-1.4194447067048814,-1.4194447067048814,1.0
59000,2.7793665,36.80769230769231,-0.45598242,-0.682692323739712,-0.682692323739712,1.0
60000,2.7832637,37.06818181818182,-0.4505021,-0.8380000352859497,-0.8380000352859497,1.0
61000,2.7402892,26.363636363636363,-0.3612691,-0.5241935262756963,-0.5241935262756963,1.0
62000,2.7842371,32.793103448275865,-0.13982916,-0.12758619209815716,-0.12758619209815716,1.0
63000,2.8287852,33.7,-0.44997138,-0.7849999984105428,-0.7849999984105428,1.0
64000,2.8250241,43.45454545454545,-0.40135527,-1.0545455379919573,-1.0545455379919573,1.0
65000,2.8382185,35.470588235294116,-0.21358196,-0.36071427379335674,-0.36071427379335674,1.0
66000,2.8426778,87.44444444444444,-0.19427826,-1.5400001247723898,-1.5400001247723898,1.0
67000,2.7466705,39.75,-0.033545215,-1.05416689068079,-1.05416689068079,1.0
68000,2.8367054,47.57142857142857,-0.37484878,-1.2880952642077492,-1.2880952642077492,1.0
69000,2.7672489,40.80952380952381,0.10446928,-0.6708334063490232,-0.6708334063490232,1.0
70000,2.7158577,22.444444444444443,-0.14244097,-0.7076924110834415,-0.7076924110834415,1.0
71000,2.8172052,43.041666666666664,-0.2495023,-0.6439999890327454,-0.6439999890327454,1.0
72000,2.8027978,42.13636363636363,-0.53192735,-1.3318182311274789,-1.3318182311274789,1.0
73000,2.743719,53.72222222222222,-0.14887954,-1.825000309281879,-1.825000309281879,1.0
74000,2.7240627,34.41025641025641,-0.20942341,-0.20333332816759744,-0.20333332816759744,1.0
75000,2.780109,38.4,-0.25596818,-0.7320000219345093,-0.7320000219345093,1.0
76000,2.7654846,30.21212121212121,-0.42533335,-0.5060606038931644,-0.5060606038931644,1.0
77000,2.7606864,38.48,-0.5439011,-1.038000044822693,-1.038000044822693,1.0
78000,2.6434653,42.48780487804878,0.17190193,-0.5727273442528464,-0.5727273442528464,1.0
79000,2.640731,32.42857142857143,-0.11334144,-0.4939999938011169,-0.4939999938011169,1.0
80000,2.7188659,33.77777777777778,-0.09921329,-0.12931033866158848,-0.12931033866158848,1.0
81000,2.687509,34.96774193548387,0.08789958,0.04354831480210827,0.04354831480210827,1.0
82000,2.726862,44.31578947368421,-0.2623559,-1.481579131201694,-1.481579131201694,1.0
83000,2.7405806,46.0,-0.44645548,-1.6416667898495991,-1.6416667898495991,1.0
84000,2.6961753,43.833333333333336,-0.17504396,-0.5903847378033859,-0.5903847378033859,1.0
85000,2.6332872,30.516129032258064,-0.09507556,-0.06935483601785475,-0.06935483601785475,1.0
86000,2.7261121,34.67857142857143,-0.24920198,-0.2696428575686046,-0.2696428575686046,1.0
87000,2.649762,29.6875,-0.21992259,0.060937484726309776,0.060937484726309776,1.0
88000,2.7095287,33.53333333333333,-0.11501669,-0.22833330631256105,-0.22833330631256105,1.0
89000,2.6380427,37.42307692307692,-0.17403863,-0.39807695952745586,-0.39807695952745586,1.0
