Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,3.1771398,49.38095238095238,-0.1156067,-1.8550000548362733,-1.8550000548362733,1.0
2000,3.177239,63.93333333333333,-0.100118585,-2.873333438237508,-2.873333438237508,1.0
3000,3.1772566,59.8235294117647,-0.042429827,-2.2147059440612793,-2.2147059440612793,1.0
4000,3.1771185,51.27777777777778,-0.050426852,-2.4805556171470218,-2.4805556171470218,1.0
5000,3.1748106,56.27272727272727,-0.07143865,-2.036111159457101,-2.036111159457101,1.0
6000,3.1634066,64.5,-0.37819117,-2.147058844566345,-2.147058844566345,1.0
7000,3.1655545,45.89473684210526,-0.2966594,-1.9976190356981187,-1.9976190356981187,1.0
8000,3.166744,58.470588235294116,-0.3657363,-2.2343751415610313,-2.2343751415610313,1.0
9000,3.1687698,59.294117647058826,-0.4010744,-2.216666657063696,-2.216666657063696,1.0
10000,3.1539984,46.53846153846154,-0.56012666,-2.0099999994039535,-2.0099999994039535,1.0
11000,3.1493897,64.0909090909091,-0.5297093,-2.017647171721739,-2.017647171721739,1.0
12000,3.1525705,50.89473684210526,-0.62364006,-2.321052595188743,-2.321052595188743,1.0
13000,3.1467738,61.0,-0.63864964,-2.6406249813735485,-2.6406249813735485,1.0
14000,3.1413798,55.73684210526316,-0.49721482,-1.9657896035595943,-1.9657896035595943,1.0
15000,3.1265876,51.36363636363637,-0.78304726,-1.7749999731779098,-1.7749999731779098,1.0
16000,3.1186657,86.8,-0.82972836,-3.533333661655585,-3.533333661655585,1.0
17000,3.117428,71.38461538461539,-0.8370868,-3.3769234327169566,-3.3769234327169566,1.0
18000,3.1172805,55.23529411764706,-0.82560086,-2.5470589574645546,-2.5470589574645546,1.0
19000,3.11667,45.891891891891895,-0.7855764,-1.5714286140033178,-1.5714286140033178,1.0
20000,3.113032,66.6,-0.98634326,-1.7738095209712075,-1.7738095209712075,1.0
21000,3.1130636,60.875,-0.93345094,-2.390625089406967,-2.390625089406967,1.0
22000,3.1102436,49.10526315789474,-0.86990255,-2.1026317163517603,-2.1026317163517603,1.0
23000,3.098266,47.55,-0.8749852,-1.7374999836087226,-1.7374999836087226,1.0
24000,3.0922503,40.71875,-1.0000347,-1.6152174265488335,-1.6152174265488335,1.0
25000,3.0950654,50.0,-0.87435114,-1.265217380679172,-1.265217380679172,1.0
26000,3.0867493,43.72727272727273,-0.99488276,-1.7454546202312817,-1.7454546202312817,1.0
27000,3.0908248,48.05,-0.9475272,-1.722499993443489,-1.722499993443489,1.0
28000,3.0791,45.54545454545455,-0.93423605,-1.823809544245402,-1.823809544245402,1.0
29000,3.074882,44.30769230769231,-0.9855537,-1.7590909410606732,-1.7590909410606732,1.0
30000,3.0529654,50.9375,-0.89429885,-1.738095338855471,-1.738095338855471,1.0
31000,3.0630665,44.59090909090909,-0.7622645,-1.327272813428532,-1.327272813428532,1.0
32000,3.0840678,54.88235294117647,-1.0238436,-2.364705930737888,-2.364705930737888,1.0
33000,3.0643408,61.13793103448276,-0.9616724,-3.859091254797849,-3.859091254797849,1.0
34000,3.0678308,66.0,-1.0597684,-1.7238094764096397,-1.7238094764096397,1.0
35000,3.0505,44.82608695652174,-1.0187942,-1.6818181818181819,-1.6818181818181819,1.0
36000,3.059376,39.91304347826087,-0.9534273,-1.1937499890724819,-1.1937499890724819,1.0
37000,3.0479076,43.73913043478261,-0.95084655,-1.36521740452103,-1.36521740452103,1.0
38000,3.034539,47.0,-0.9495706,-1.3214286253565835,-1.3214286253565835,1.0
39000,3.0044944,32.90909090909091,-1.122835,-1.7187500149011612,-1.7187500149011612,1.0
40000,3.0136104,40.78260869565217,-0.90224326,-1.3108695512232573,-1.3108695512232573,1.0
41000,3.024381,41.75,-0.9487233,-1.3062500208616257,-1.3062500208616257,1.0
42000,3.028119,50.63414634146341,-0.96083456,-1.3977272524075075,-1.3977272524075075,1.0
43000,2.9656374,38.0,-1.1183298,-2.3970588322948005,-2.3970588322948005,1.0
44000,2.9940162,39.4375,-0.92799824,-1.1416666731238365,-1.1416666731238365,1.0
