Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,3.1776638,51.95,-0.18001512,-2.2684211197652315,-2.2684211197652315,1.0
2000,3.1775126,57.529411764705884,-0.16694438,-1.8676471306997187,-1.8676471306997187,1.0
3000,3.1776588,58.6875,-0.17043118,-2.7375000715255737,-2.7375000715255737,1.0
4000,3.1776834,58.8235294117647,-0.21350479,-2.461764822987949,-2.461764822987949,1.0
5000,3.1742914,55.2,-0.30072114,-1.9916666911707983,-1.9916666911707983,1.0
6000,3.1613376,39.0,-0.43620366,-2.530555682049857,-2.530555682049857,1.0
7000,3.1618152,49.411764705882355,-0.48567605,-1.907500112056732,-1.907500112056732,1.0
8000,3.16089,56.421052631578945,-0.4721938,-2.1684211680763648,-2.1684211680763648,1.0
9000,3.1622622,56.8125,-0.4021349,-2.0562502201646566,-2.0562502201646566,1.0
10000,3.1488838,48.0,-0.55071795,-1.8785715500513713,-1.8785715500513713,1.0
11000,3.1325028,75.375,-0.536936,-2.2687499970197678,-2.2687499970197678,1.0
12000,3.1410096,58.1875,-0.47754484,-2.0875002667307854,-2.0875002667307854,1.0
13000,3.129803,43.91304347826087,-0.5441576,-1.6340908733281223,-1.6340908733281223,1.0
14000,3.1391838,41.0,-0.55562013,-1.5395833378036816,-1.5395833378036816,1.0
15000,3.1135576,56.17391304347826,-0.72225565,-2.52647066116333,-2.52647066116333,1.0
16000,3.092901,71.5,-0.750119,-2.7781252712011337,-2.7781252712011337,1.0
17000,3.090842,42.86363636363637,-0.6868816,-1.4068182151425968,-1.4068182151425968,1.0
18000,3.0926883,57.411764705882355,-0.70439273,-1.9264707162099726,-1.9264707162099726,1.0
19000,3.0715601,44.583333333333336,-0.7391749,-2.1125001132488253,-2.1125001132488253,1.0
20000,3.0576997,43.75,-0.7840915,-1.5500000715255737,-1.5500000715255737,1.0
21000,3.046731,55.578947368421055,-0.7194437,-1.9694444967640772,-1.9694444967640772,1.0
22000,3.051797,44.76190476190476,-0.7028696,-1.409090906381607,-1.409090906381607,1.0
23000,3.0498438,49.68421052631579,-0.7717477,-1.6842105012190969,-1.6842105012190969,1.0
24000,3.019811,45.357142857142854,-0.70042425,-1.5904763582206907,-1.5904763582206907,1.0
25000,3.0253112,54.38461538461539,-0.72503096,-1.3925000131130219,-1.3925000131130219,1.0
26000,3.0034404,47.42857142857143,-0.7757019,-1.2380953431129456,-1.2380953431129456,1.0
27000,3.039554,39.208333333333336,-0.6427929,-1.0041666875282924,-1.0041666875282924,1.0
28000,3.027845,45.391304347826086,-0.86226654,-1.3891305463469548,-1.3891305463469548,1.0
29000,3.003614,41.142857142857146,-0.8796001,-1.6340909952467138,-1.6340909952467138,1.0
30000,2.9747815,30.833333333333332,-0.5858792,-0.6583333899577458,-0.6583333899577458,1.0
31000,2.9817789,33.48275862068966,-0.67877245,-0.701724151085163,-0.701724151085163,1.0
32000,2.9938838,38.035714285714285,-0.6526156,-0.5517857202461788,-0.5517857202461788,1.0
33000,2.9669483,44.3125,-0.64101505,-1.2826087073139523,-1.2826087073139523,1.0
34000,2.9579387,32.5,-0.64745855,-1.171739197295645,-1.171739197295645,1.0
35000,2.9529479,38.32,-0.6203769,-0.984000051021576,-0.984000051021576,1.0
36000,2.9280372,30.40625,-0.5362561,-0.1999999899417162,-0.1999999899417162,1.0
37000,2.9421947,35.74074074074074,-0.5081135,-0.7814814669114573,-0.7814814669114573,1.0
38000,2.914281,35.642857142857146,-0.46684855,-0.9519230683262532,-0.9519230683262532,1.0
39000,2.8882618,33.55172413793103,-0.46827608,-0.7435483855585898,-0.7435483855585898,1.0
40000,2.9124582,37.73076923076923,-0.46426964,-0.7999999878498224,-0.7999999878498224,1.0
41000,2.8940089,32.3448275862069,-0.6278205,-0.7948276143649529,-0.7948276143649529,1.0
42000,2.88166,30.170731707317074,-0.47803497,-0.47833330631256105,-0.47833330631256105,1.0
43000,2.8149812,28.24,-0.24643093,-0.09861111227009031,-0.09861111227009031,1.0
44000,2.8446422,28.235294117647058,-0.49138793,-0.23088236503741322,-0.23088236503741322,1.0
45000,2.8487952,31.741935483870968,-0.2665169,-0.23387097447149216,-0.23387097447149216,1.0
46000,2.7943263,29.354166666666668,-0.26832283,-0.16176471552428076,-0.16176471552428076,1.0
47000,2.7834625,29.333333333333332,-0.08262502,-0.01249999925494194,-0.01249999925494194,1.0
48000,2.811013,28.87878787878788,-0.0014262588,0.11969697294813214,0.11969697294813214,1.0
49000,2.794006,28.5,-0.057337068,0.18970587674309225,0.18970587674309225,1.0
50000,2.8036108,28.88235294117647,-0.08546549,0.020588210400413063,0.020588210400413063,1.0
51000,2.7531495,31.21212121212121,-0.13421944,-0.25322580337524414,-0.25322580337524414,1.0
52000,2.762271,30.82758620689655,0.0443654,-0.24193551175055966,-0.24193551175055966,1.0
53000,2.7491386,29.9375,0.096190594,0.012499986216425896,0.012499986216425896,1.0
54000,2.717894,25.89189189189189,0.031434454,0.08378377717894477,0.08378377717894477,1.0
55000,2.6763937,26.871794871794872,-0.08843398,-0.2430555605226093,-0.2430555605226093,1.0
56000,2.6426985,24.35135135135135,0.25719085,0.3962499871850014,0.3962499871850014,1.0
57000,2.6939127,26.35135135135135,0.1558657,0.3608108066223763,0.3608108066223763,1.0
58000,2.6291404,25.18918918918919,0.19194134,0.24864863463350245,0.24864863463350245,1.0
59000,2.6392386,25.576923076923077,0.15958314,0.22432432303557526,0.22432432303557526,1.0
60000,2.5342202,23.6,0.23513336,0.4600000098347664,0.4600000098347664,1.0
61000,2.508141,23.214285714285715,0.06149489,0.2702380872908093,0.2702380872908093,1.0
62000,2.5759752,26.25,0.14469302,0.3888888880610466,0.3888888880610466,1.0
63000,2.5708833,23.864406779661017,0.10905169,0.31250000149011614,0.31250000149011614,1.0
64000,2.4724624,25.4,0.3705869,0.5187500044703484,0.5187500044703484,1.0
65000,2.4450715,20.543478260869566,0.3558733,0.593478257889333,0.593478257889333,1.0
66000,2.4888613,23.904761904761905,0.3486976,0.3261904659725371,0.3261904659725371,1.0
67000,2.4516838,19.25531914893617,0.4076485,0.6319148806815452,0.6319148806815452,1.0
68000,2.4484365,19.7,0.58732545,0.8357142781724736,0.8357142781724736,1.0
69000,2.4196868,33.03448275862069,0.46216646,0.13333327968915304,0.13333327968915304,1.0
70000,2.386909,21.25,0.53313833,0.8522727265954018,0.8522727265954018,1.0
71000,2.3458228,18.18867924528302,0.5463204,0.8424528218665213,0.8424528218665213,1.0
72000,2.3526304,21.568181818181817,0.44616017,0.5895348718000013,0.5895348718000013,1.0
73000,2.2983334,20.41304347826087,0.5467417,0.8361702123855023,0.8361702123855023,1.0
74000,2.2706413,17.545454545454547,0.6155202,1.0045454502105713,1.0045454502105713,1.0
75000,2.280047,19.604166666666668,0.6188193,0.888541662444671,0.888541662444671,1.0
76000,2.2668743,17.77358490566038,0.7602778,1.0566037758341376,1.0566037758341376,1.0
77000,2.1957002,16.892857142857142,0.8126921,1.099999996168273,1.099999996168273,1.0
78000,2.1766205,17.145454545454545,0.78866,1.0318181904879484,1.0318181904879484,1.0
79000,2.185977,24.914893617021278,0.86203486,1.1260869528936304,1.1260869528936304,1.0
80000,2.181716,19.634146341463413,0.7526263,0.3999998508355556,0.3999998508355556,1.0
81000,2.1364515,16.98076923076923,0.88745016,1.1299999995665118,1.1299999995665118,1.0
82000,2.1010504,16.482758620689655,0.8895522,1.1249999958893349,1.1249999958893349,1.0
83000,2.0588808,15.915254237288135,0.8989436,1.1338982986191573,1.1338982986191573,1.0
84000,2.0903301,15.426229508196721,0.8472784,1.214999998609225,1.214999998609225,1.0
85000,1.98547,16.228070175438596,0.77065146,1.0974137885817166,1.0974137885817166,1.0
86000,1.9867921,14.625,0.8679422,1.2203124985098839,1.2203124985098839,1.0
87000,2.0216289,15.766666666666667,0.8526191,1.183333326379458,1.183333326379458,1.0
88000,1.9932952,16.26984126984127,0.84454596,1.1762711890673234,1.1762711890673234,1.0
89000,1.862164,13.73015873015873,0.88409126,1.2863636369054967,1.2863636369054967,1.0
90000,1.861347,14.169230769230769,0.8835499,1.3022727275436574,1.3022727275436574,1.0
91000,1.8713268,14.584615384615384,0.837117,1.1890625013038516,1.1890625013038516,1.0
92000,1.8475522,14.82258064516129,0.8888055,1.17380952835083,1.17380952835083,1.0
93000,1.756779,13.608695652173912,0.9387441,1.3426470581222982,1.3426470581222982,1.0
94000,1.760582,12.929577464788732,0.94586873,1.318750003973643,1.318750003973643,1.0
95000,1.6929758,11.946236559139784,1.0172455,1.3986842146045284,1.3986842146045284,1.0
96000,1.6063063,12.14516129032258,1.0661025,1.4346153965363135,1.4346153965363135,1.0
97000,1.5884483,11.666666666666666,1.0701729,1.432911399044568,1.432911399044568,1.0
98000,1.5739483,11.036144578313253,1.0565016,1.42048194465867,1.42048194465867,1.0
99000,1.5869895,12.266666666666667,1.0512061,1.3713333400090535,1.3713333400090535,1.0
100000,1.4254165,10.292134831460674,1.0590737,1.4409091032364152,1.4409091032364152,1.0
101000,1.4027789,10.142857142857142,1.1263715,1.507692316731254,1.507692316731254,1.0
102000,1.394985,10.511627906976743,1.1127911,1.494827589769473,1.494827589769473,1.0
103000,1.2633758,9.574468085106384,1.1144156,1.5244680899888912,1.5244680899888912,1.0
104000,1.194816,9.375,1.1306394,1.5760416748623054,1.5760416748623054,1.0
105000,1.2198627,9.05,1.1163757,1.5560000121593476,1.5560000121593476,1.0
106000,1.1962913,9.583333333333334,1.1509067,1.560526333670867,1.560526333670867,1.0
107000,1.0927134,9.208333333333334,1.1534116,1.5603092853555973,1.5603092853555973,1.0
108000,1.0630038,8.862745098039216,1.1826562,1.6142156977279514,1.6142156977279514,1.0
109000,1.1803714,9.934065934065934,1.1478747,1.5258241826361352,1.5258241826361352,1.0
110000,0.9639196,8.481132075471699,1.2140071,1.6033018939899948,1.6033018939899948,1.0
111000,0.94097877,8.490384615384615,1.2115169,1.6066666750680834,1.6066666750680834,1.0
112000,0.9757584,8.930693069306932,1.2042651,1.5787128764804046,1.5787128764804046,1.0
113000,0.9472706,8.508333333333333,1.2009108,1.5728972033362523,1.5728972033362523,1.0
114000,0.8849877,8.588888888888889,1.1944773,1.6208737938149462,1.6208737938149462,1.0
115000,0.9220804,8.686274509803921,1.1620839,1.5956310774516134,1.5956310774516134,1.0
116000,0.94982505,10.1,1.1693275,1.5266666677263048,1.5266666677263048,1.0
117000,0.9797,9.926315789473684,1.1358047,1.5351648360163301,1.5351648360163301,1.0
118000,0.7843365,8.117647058823529,1.1758202,1.6165094364364192,1.6165094364364192,1.0
