Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9952211,47.95238095238095,0.2585443,-0.5949999801814556,-0.5949999801814556,1.0
2000,2.9952466,48.0,0.34334892,-0.44285716187386287,-0.44285716187386287,1.0
3000,2.9952185,42.17391304347826,0.2347496,-0.8340909196571871,-0.8340909196571871,1.0
4000,2.995075,62.529411764705884,0.3039184,-0.8777778214878507,-0.8777778214878507,1.0
5000,2.9952686,67.15384615384616,0.3912301,-1.919230947127709,-1.919230947127709,1.0
6000,2.9951868,50.05,0.36897433,-0.992500188946724,-0.992500188946724,1.0
7000,2.9952104,71.42857142857143,0.29870805,-1.9107146028961455,-1.9107146028961455,1.0
8000,2.9952,43.54545454545455,0.28325933,-0.6068181652914394,-0.6068181652914394,1.0
9000,2.9952803,53.68421052631579,0.22034234,-0.9052631807954687,-0.9052631807954687,1.0
10000,2.9952471,60.4375,0.3423683,-1.431250048801303,-1.431250048801303,1.0
11000,2.9952812,62.2,0.21068805,-2.4933336079120636,-2.4933336079120636,1.0
12000,2.995257,44.391304347826086,0.23883429,-0.5391304700270944,-0.5391304700270944,1.0
13000,2.9952288,63.8,0.29730734,-1.2133333841959635,-1.2133333841959635,1.0
14000,2.9952948,48.95,0.28227025,-0.9500001400709153,-0.9500001400709153,1.0
15000,2.9952717,54.10526315789474,0.26801845,-1.0388889147175684,-1.0388889147175684,1.0
16000,2.9952993,47.9,0.32559374,-0.745238218988691,-0.745238218988691,1.0
17000,2.9952354,47.76190476190476,0.32966965,-0.6750000149011612,-0.6750000149011612,1.0
18000,2.9952242,58.5625,0.36798474,-1.3352941449950724,-1.3352941449950724,1.0
19000,2.9951742,47.285714285714285,0.22170019,-0.6214285719962347,-0.6214285719962347,1.0
20000,2.9952352,48.65,0.2741398,-0.9950000822544098,-0.9950000822544098,1.0
21000,2.9952183,49.05,0.3591873,-0.6049999848008156,-0.6049999848008156,1.0
22000,2.9952788,67.86666666666666,0.4134743,-1.3166667938232421,-1.3166667938232421,1.0
23000,2.9952044,47.23809523809524,0.23171993,-0.8619047914232526,-0.8619047914232526,1.0
24000,2.9953058,48.0,0.31425583,-0.5736841653522692,-0.5736841653522692,1.0
25000,2.995226,49.36842105263158,0.29582775,-1.470000046491623,-1.470000046491623,1.0
26000,2.995216,70.46666666666667,0.36486772,-1.4833335320154826,-1.4833335320154826,1.0
27000,2.9952085,61.6,0.17130664,-1.966666849454244,-1.966666849454244,1.0
28000,2.9952118,60.05882352941177,0.3834231,-1.120588316636927,-1.120588316636927,1.0
29000,2.9952273,50.85,0.21466963,-1.0399999916553497,-1.0399999916553497,1.0
30000,2.9952607,59.72222222222222,0.28670236,-1.2083334243959851,-1.2083334243959851,1.0
31000,2.995305,62.07142857142857,0.3498412,-2.039285902466093,-2.039285902466093,1.0
32000,2.995271,56.705882352941174,0.38249552,-1.0352941506049211,-1.0352941506049211,1.0
33000,2.9952235,54.388888888888886,0.30742586,-1.2583333734009001,-1.2583333734009001,1.0
34000,2.9952226,49.78947368421053,0.23580526,-0.8157894674100374,-0.8157894674100374,1.0
35000,2.9952452,53.94736842105263,0.34463444,-1.0605263710021973,-1.0605263710021973,1.0
36000,2.9952335,61.4375,0.30586427,-1.7343751229345798,-1.7343751229345798,1.0
37000,2.9952788,55.45,0.259295,-0.8025000482797623,-0.8025000482797623,1.0
38000,2.9952471,58.07142857142857,0.25309172,-1.7214286455086298,-1.7214286455086298,1.0
39000,2.9952404,51.63157894736842,0.12630801,-0.9921053585253263,-0.9921053585253263,1.0
40000,2.9953284,61.625,0.13943669,-1.6812499910593033,-1.6812499910593033,1.0
41000,2.995273,52.31578947368421,0.24012184,-1.35263171635176,-1.35263171635176,1.0
42000,2.9952276,48.2,0.18937,-1.0349999874830247,-1.0349999874830247,1.0
43000,2.9952824,45.27272727272727,0.23054864,-0.3568181720646945,-0.3568181720646945,1.0
44000,2.9952269,51.0,0.25986317,-1.0525000602006913,-1.0525000602006913,1.0
45000,2.9952047,65.66666666666667,0.31030077,-2.0142859561102733,-2.0142859561102733,1.0
46000,2.9953167,51.111111111111114,0.37507436,-0.655263121190824,-0.655263121190824,1.0
47000,2.9895685,48.38461538461539,0.20484827,-0.5104166467984518,-0.5104166467984518,1.0
48000,2.9734452,40.333333333333336,0.22036794,-0.9472222824891409,-0.9472222824891409,1.0
49000,2.9737487,38.5,0.11521348,-0.5124999942878882,-0.5124999942878882,1.0
50000,2.9739234,36.25925925925926,0.11014172,-0.39814816249741447,-0.39814816249741447,1.0
51000,2.973734,44.04347826086956,0.07842781,-0.6956521402234617,-0.6956521402234617,1.0
52000,2.9751966,42.86363636363637,0.10419087,-0.4454545161940835,-0.4454545161940835,1.0
53000,2.9727604,37.23076923076923,0.080404654,-0.46153850051072925,-0.46153850051072925,1.0
54000,2.9747055,34.10344827586207,0.11292702,-0.2896551798129904,-0.2896551798129904,1.0
55000,2.9754424,45.666666666666664,0.09038311,-0.6595238418806166,-0.6595238418806166,1.0
56000,2.9734342,38.38461538461539,0.113128535,-0.5211538460392219,-0.5211538460392219,1.0
57000,2.9731529,41.47826086956522,0.14514786,-0.43043480619140295,-0.43043480619140295,1.0
58000,2.9764652,45.86363636363637,0.023676574,-0.7909091114997864,-0.7909091114997864,1.0
59000,2.9740815,48.15,0.11090879,-0.6375000953674317,-0.6375000953674317,1.0
60000,2.9747665,49.526315789473685,0.09500226,-0.6975000038743019,-0.6975000038743019,1.0
61000,2.974,45.0,0.061272424,-0.9809525538058508,-0.9809525538058508,1.0
62000,2.9766924,42.82608695652174,0.10227698,-0.3978260833284129,-0.3978260833284129,1.0
63000,2.9735255,40.25,0.13394819,-0.28333331644535065,-0.28333331644535065,1.0
64000,2.9720345,43.82608695652174,0.17521471,-0.25434783230657165,-0.25434783230657165,1.0
65000,2.9751284,44.04347826086956,0.12482989,-0.44999997182325885,-0.44999997182325885,1.0
66000,2.972623,38.708333333333336,0.057479285,-0.05199998795986176,-0.05199998795986176,1.0
67000,2.9735098,49.45,0.09580647,-0.7475000865757465,-0.7475000865757465,1.0
68000,2.974896,39.666666666666664,0.14836971,-0.4000000295539697,-0.4000000295539697,1.0
69000,2.9743435,36.48148148148148,0.07600867,-0.287037029310509,-0.287037029310509,1.0
70000,2.9736392,44.56521739130435,0.072464764,-0.776087004205455,-0.776087004205455,1.0
71000,2.9762206,51.166666666666664,0.107582435,-0.9833333773745431,-0.9833333773745431,1.0
72000,2.972176,47.61904761904762,0.062055532,-0.5595238052663349,-0.5595238052663349,1.0
73000,2.9749787,48.15,0.041205484,-1.1300000339746474,-1.1300000339746474,1.0
74000,2.9732654,52.7,0.13873617,-0.43999996185302737,-0.43999996185302737,1.0
75000,2.9752553,42.80952380952381,0.07928492,-0.9809524133091881,-0.9809524133091881,1.0
76000,2.9744556,47.714285714285715,0.09502663,-0.6619047806376502,-0.6619047806376502,1.0
77000,2.9750462,53.333333333333336,0.10802258,-0.7083334045277702,-0.7083334045277702,1.0
