Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9949024,53.473684210526315,-0.033631895,-1.386111181643274,-1.386111181643274,1.0
2000,2.9948204,49.333333333333336,0.029349323,-0.8924999684095383,-0.8924999684095383,1.0
3000,2.9947,59.875,-0.0020924404,-0.855882374679341,-0.855882374679341,1.0
4000,2.994798,55.77777777777778,-0.052568194,-1.252777897649341,-1.252777897649341,1.0
5000,2.9947221,64.0,-0.028701205,-1.68666676680247,-1.68666676680247,1.0
6000,2.9948447,48.578947368421055,-0.05189971,-0.9499999974903307,-0.9499999974903307,1.0
7000,2.9947097,65.0,-0.051906068,-1.6375002190470695,-1.6375002190470695,1.0
8000,2.9947534,56.76470588235294,-0.05059969,-1.4500000827452715,-1.4500000827452715,1.0
9000,2.994802,44.76190476190476,-0.09711916,-0.6976190890584674,-0.6976190890584674,1.0
10000,2.994715,55.94736842105263,-0.097169735,-0.8842104669464262,-0.8842104669464262,1.0
11000,2.9947522,58.9375,-0.08318582,-1.9300001919269563,-1.9300001919269563,1.0
12000,2.9948244,47.45,-0.015478052,-0.45238102617717924,-0.45238102617717924,1.0
13000,2.9948132,54.1578947368421,-0.04711925,-0.9868421178115042,-0.9868421178115042,1.0
14000,2.9947917,40.130434782608695,-0.06837183,-0.8760870539623759,-0.8760870539623759,1.0
15000,2.9949126,54.44444444444444,-0.08122567,-1.233333494928148,-1.233333494928148,1.0
16000,2.994795,47.19047619047619,-0.009531664,-0.9261904812994457,-0.9261904812994457,1.0
17000,2.9947524,57.11764705882353,-0.065188855,-1.3764707779183107,-1.3764707779183107,1.0
18000,2.994758,47.61904761904762,-0.050858498,-1.0476191171577998,-1.0476191171577998,1.0
19000,2.9947624,58.94117647058823,-0.063591816,-1.5735294994185953,-1.5735294994185953,1.0
20000,2.9946802,65.53333333333333,-0.07793152,-1.576666929324468,-1.576666929324468,1.0
21000,2.9947214,60.875,0.045640294,-1.23125009983778,-1.23125009983778,1.0
22000,2.994843,54.666666666666664,-0.033319756,-1.3305556343661413,-1.3305556343661413,1.0
23000,2.994789,42.30434782608695,-0.02661775,-0.4804348245910976,-0.4804348245910976,1.0
24000,2.9947512,67.53333333333333,0.017800149,-1.3900001247723897,-1.3900001247723897,1.0
25000,2.9947104,52.888888888888886,-0.019590802,-1.1472223732206557,-1.1472223732206557,1.0
26000,2.9947138,66.2,-0.067151144,-1.5000002225240072,-1.5000002225240072,1.0
27000,2.9948704,44.04347826086956,-0.038405284,-0.3608695942422618,-0.3608695942422618,1.0
28000,2.9947639,50.421052631578945,-0.0678099,-0.8184210532589963,-0.8184210532589963,1.0
29000,2.9948058,51.476190476190474,-0.0061564054,-0.9947368408504286,-0.9947368408504286,1.0
30000,2.9947379,56.25,-0.0825964,-1.4972224202420976,-1.4972224202420976,1.0
31000,2.9948354,57.8125,-0.035339374,-1.0187501348555088,-1.0187501348555088,1.0
32000,2.9947762,47.857142857142854,-0.025498692,-0.4571428724697658,-0.4571428724697658,1.0
33000,2.9948308,65.33333333333333,-0.12558137,-1.623333615064621,-1.623333615064621,1.0
34000,2.9947755,60.0625,-0.06713766,-1.1593750566244125,-1.1593750566244125,1.0
35000,2.9948163,47.666666666666664,-0.0476479,-0.7738095294861567,-0.7738095294861567,1.0
36000,2.9948192,49.2,-0.028409693,-0.9875000536441803,-0.9875000536441803,1.0
37000,2.9948065,46.57142857142857,-0.10360507,-0.7380953232447306,-0.7380953232447306,1.0
38000,2.9948833,47.65,-0.049372487,-0.6850000232458114,-0.6850000232458114,1.0
39000,2.9949155,49.0,-0.03244395,-1.0880953414099557,-1.0880953414099557,1.0
40000,2.9948277,53.61904761904762,-0.087250546,-0.7025000035762787,-0.7025000035762787,1.0
41000,2.9947634,54.2,-0.09261555,-1.2687500566244125,-1.2687500566244125,1.0
42000,2.9947925,50.31578947368421,-0.008461338,-1.1789474377506657,-1.1789474377506657,1.0
43000,2.9947855,59.705882352941174,-0.058700457,-0.9735294615521151,-0.9735294615521151,1.0
44000,2.9947424,57.64705882352941,-0.038147934,-1.3470590605455286,-1.3470590605455286,1.0
45000,2.994903,53.05263157894737,-0.027468884,-1.1944444477558136,-1.1944444477558136,1.0
46000,2.994878,58.4375,-0.12972307,-1.0470589820076437,-1.0470589820076437,1.0
47000,2.990785,61.903225806451616,-0.11728941,-1.1000000768237643,-1.1000000768237643,1.0
48000,2.9856672,42.666666666666664,-0.14883731,-1.7500001447541373,-1.7500001447541373,1.0
49000,2.9838707,45.411764705882355,-0.21074201,-0.6431817994876341,-0.6431817994876341,1.0
50000,2.9849122,50.95,-0.23289183,-0.7374999433755874,-0.7374999433755874,1.0
51000,2.9861631,51.72222222222222,-0.22630279,-1.2416667375299666,-1.2416667375299666,1.0
52000,2.9862356,55.27777777777778,-0.18435898,-1.075000090731515,-1.075000090731515,1.0
53000,2.9854226,44.416666666666664,-0.13847356,-0.46136367321014404,-0.46136367321014404,1.0
54000,2.984874,48.77777777777778,-0.24596274,-0.8650000154972076,-0.8650000154972076,1.0
55000,2.9848154,36.851851851851855,-0.2082237,-0.29999998101481684,-0.29999998101481684,1.0
56000,2.9850137,43.391304347826086,-0.2006586,-0.47173911851385364,-0.47173911851385364,1.0
57000,2.9851668,44.77272727272727,-0.16412407,-0.6568181799216704,-0.6568181799216704,1.0
58000,2.9849086,38.04,-0.19280434,-0.5319999718666076,-0.5319999718666076,1.0
59000,2.9852536,43.36363636363637,-0.25046784,-0.6795454567128961,-0.6795454567128961,1.0
60000,2.9857762,36.22222222222222,-0.24910262,-0.15555553966098362,-0.15555553966098362,1.0
61000,2.984581,52.68421052631579,-0.21068558,-0.7473684517960799,-0.7473684517960799,1.0
62000,2.9845617,50.36842105263158,-0.17882812,-0.9026315965150532,-0.9026315965150532,1.0
63000,2.9846466,40.76,-0.2866598,-0.6229166562358538,-0.6229166562358538,1.0
64000,2.9847312,44.59090909090909,-0.1882566,-0.5977272987365723,-0.5977272987365723,1.0
65000,2.9854946,42.81818181818182,-0.21041265,-0.39565213996431103,-0.39565213996431103,1.0
66000,2.9845986,44.82608695652174,-0.18137065,-0.315909128297459,-0.315909128297459,1.0
67000,2.9853022,35.2962962962963,-0.20209734,-0.14444448992058082,-0.14444448992058082,1.0
68000,2.9847267,44.666666666666664,-0.09886671,-0.2772727066820318,-0.2772727066820318,1.0
69000,2.985357,43.34782608695652,-0.16918269,-0.3826086728469185,-0.3826086728469185,1.0
70000,2.9857624,39.958333333333336,-0.21162222,-0.44166665772596997,-0.44166665772596997,1.0
71000,2.9847937,46.666666666666664,-0.19008037,-0.9500000193005517,-0.9500000193005517,1.0
72000,2.9852655,44.13636363636363,-0.1733883,-0.6045454889535904,-0.6045454889535904,1.0
73000,2.9852507,39.11538461538461,-0.22102548,-0.522000013589859,-0.522000013589859,1.0
74000,2.9854398,42.541666666666664,-0.21526618,-0.44583334897955257,-0.44583334897955257,1.0
75000,2.9848847,35.88,-0.21148232,-0.13846156688836905,-0.13846156688836905,1.0
76000,2.9841077,47.0,-0.19906521,-0.559523792493911,-0.559523792493911,1.0
77000,2.9854734,39.24,-0.23697335,-0.31399998009204866,-0.31399998009204866,1.0
78000,2.9852238,51.8421052631579,-0.21493337,-0.5421052230031866,-0.5421052230031866,1.0
79000,2.984518,41.34782608695652,-0.30570468,-0.7413042861482372,-0.7413042861482372,1.0
80000,2.9850957,40.0,-0.19216926,-0.24200002670288087,-0.24200002670288087,1.0
81000,2.98492,41.4,-0.2561887,-0.6059999537467956,-0.6059999537467956,1.0
82000,2.9849901,40.63636363636363,-0.18987246,-0.46363635903055017,-0.46363635903055017,1.0
83000,2.9846418,41.625,-0.2290603,-0.7791666835546494,-0.7791666835546494,1.0
84000,2.9854434,49.25,-0.1736645,-0.8900000661611557,-0.8900000661611557,1.0
85000,2.9850557,43.59090909090909,-0.23535448,-0.4204546091231433,-0.4204546091231433,1.0
86000,2.985707,37.96153846153846,-0.2291167,-0.5557692073858701,-0.5557692073858701,1.0
87000,2.9858313,41.041666666666664,-0.18285108,-0.5458333417773247,-0.5458333417773247,1.0
88000,2.985532,42.86363636363637,-0.27414444,-0.574999985369769,-0.574999985369769,1.0
89000,2.9845097,44.21739130434783,-0.12770362,-0.5239130439965621,-0.5239130439965621,1.0
90000,2.9848893,39.125,-0.22759783,-0.6250000111758709,-0.6250000111758709,1.0
91000,2.9843616,54.833333333333336,-0.16186485,-0.9333333373069763,-0.9333333373069763,1.0
92000,2.9851108,62.375,-0.13341151,-1.2906251959502697,-1.2906251959502697,1.0
93000,2.9750068,48.65384615384615,-0.18053429,-0.6894736572315818,-0.6894736572315818,1.0
94000,2.9610832,46.53333333333333,-0.18233687,-0.27954541553150525,-0.27954541553150525,1.0
95000,2.967231,37.074074074074076,-0.24807261,-0.2500000132454766,-0.2500000132454766,1.0
96000,2.9637995,36.76923076923077,-0.22124285,-0.46923075960232663,-0.46923075960232663,1.0
97000,2.9624467,40.041666666666664,-0.16036183,-0.21041662494341531,-0.21041662494341531,1.0
98000,2.9669511,43.31818181818182,-0.25881124,-0.6931817612864755,-0.6931817612864755,1.0
99000,2.965927,49.4,-0.285039,-0.8725000292062759,-0.8725000292062759,1.0
100000,2.9638038,44.869565217391305,-0.24484481,-0.5608695278997007,-0.5608695278997007,1.0
101000,2.9624667,35.2962962962963,-0.2049513,-0.1370370211424651,-0.1370370211424651,1.0
102000,2.9648018,37.0,-0.19680487,-0.015384584665298462,-0.015384584665298462,1.0
103000,2.963423,47.95,-0.12545705,-0.6174999549984932,-0.6174999549984932,1.0
104000,2.9649332,36.464285714285715,-0.19825628,-0.25535712923322407,-0.25535712923322407,1.0
105000,2.9616218,49.21052631578947,-0.13817,-0.4921052251991473,-0.4921052251991473,1.0
106000,2.961523,40.291666666666664,-0.16241397,-0.39791667461395264,-0.39791667461395264,1.0
107000,2.960795,42.56521739130435,-0.1512657,-0.22173912628837253,-0.22173912628837253,1.0
108000,2.9637494,39.84615384615385,-0.27262297,-0.5619999754428864,-0.5619999754428864,1.0
