Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.994013,47.76190476190476,-0.13922405,-0.7850000202655792,-0.7850000202655792,1.0
2000,2.994067,50.78947368421053,-0.14018095,-1.2157896913980182,-1.2157896913980182,1.0
3000,2.9941783,53.421052631578945,-0.018632524,-0.6999999927847009,-0.6999999927847009,1.0
4000,2.994225,50.9,-0.15438959,-0.9225000351667404,-0.9225000351667404,1.0
5000,2.9940736,48.15,-0.108591646,-0.776315733006126,-0.776315733006126,1.0
6000,2.994219,42.54545454545455,-0.104275964,-1.0695652598920076,-1.0695652598920076,1.0
7000,2.994071,43.95454545454545,-0.020519705,-0.8522727516564456,-0.8522727516564456,1.0
8000,2.9940588,48.65,-0.050914787,-0.9925000116229057,-0.9925000116229057,1.0
9000,2.9939995,53.26315789473684,-0.066517115,-1.1394736860927783,-1.1394736860927783,1.0
10000,2.9938529,65.5,-0.18134777,-1.3625000976026058,-1.3625000976026058,1.0
11000,2.9939866,41.31818181818182,-0.06623723,-0.5545454587448727,-0.5545454587448727,1.0
12000,2.99405,48.15,-0.031508006,-1.1650000661611557,-1.1650000661611557,1.0
13000,2.9940467,54.77777777777778,-0.091319814,-0.8694444364971585,-0.8694444364971585,1.0
14000,2.9940698,52.473684210526315,-0.0456344,-1.2500000752900775,-1.2500000752900775,1.0
15000,2.9943252,51.68421052631579,-0.010021377,-1.3815790650091673,-1.3815790650091673,1.0
16000,2.993987,62.625,-0.09579785,-0.8125000149011612,-0.8125000149011612,1.0
17000,2.9943206,47.9,0.016985167,-0.6550000041723252,-0.6550000041723252,1.0
18000,2.9941509,70.06666666666666,-0.20392494,-1.8000001947085063,-1.8000001947085063,1.0
19000,2.9940882,61.8,-0.15502642,-1.676666901508967,-1.676666901508967,1.0
20000,2.994147,49.15,-0.053421784,-1.1475000128149986,-1.1475000128149986,1.0
21000,2.9937754,59.0,-0.056173615,-1.0125000104308128,-1.0125000104308128,1.0
22000,2.9938786,51.55,-0.09174003,-0.7675000175833702,-0.7675000175833702,1.0
23000,2.993901,56.0,-0.09336377,-1.276470636620241,-1.276470636620241,1.0
24000,2.9939325,60.470588235294116,-0.0634389,-1.0852941397358389,-1.0852941397358389,1.0
25000,2.994261,56.05882352941177,-0.05540932,-1.2029411477201126,-1.2029411477201126,1.0
26000,2.9941447,58.76470588235294,-0.08442001,-1.2617647823165445,-1.2617647823165445,1.0
27000,2.9941304,50.8421052631579,-0.16855937,-1.247222234805425,-1.247222234805425,1.0
28000,2.9942794,45.22727272727273,0.018229278,-0.5500000482020171,-0.5500000482020171,1.0
29000,2.994242,54.111111111111114,-0.06383722,-0.9361111852857802,-0.9361111852857802,1.0
30000,2.9943285,49.578947368421055,-0.042719375,-0.98157904336327,-0.98157904336327,1.0
31000,2.9940848,48.57142857142857,-0.14666972,-1.2763158302558095,-1.2763158302558095,1.0
32000,2.9940877,55.05555555555556,-0.11779852,-1.0325000196695329,-1.0325000196695329,1.0
33000,2.9941506,55.64705882352941,-0.10137301,-1.2294118684880875,-1.2294118684880875,1.0
34000,2.9942381,50.89473684210526,-0.05250787,-0.7368420927148116,-0.7368420927148116,1.0
35000,2.9940734,60.64705882352941,-0.11941155,-1.2676471314009499,-1.2676471314009499,1.0
36000,2.99407,50.55,-0.041382067,-1.1525000393390656,-1.1525000393390656,1.0
37000,2.994123,56.9375,-0.051686503,-1.1187500841915607,-1.1187500841915607,1.0
38000,2.9941738,50.75,-0.10661348,-0.7275000244379044,-0.7275000244379044,1.0
