Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9944055,46.0,0.003175094,-0.8380952363922483,-0.8380952363922483,1.0
2000,2.9946342,51.57142857142857,-0.15317857,-1.1750000447034836,-1.1750000447034836,1.0
3000,2.9944723,45.68421052631579,-0.098002635,-0.9900000780820847,-0.9900000780820847,1.0
4000,2.994674,48.095238095238095,-0.09505383,-0.7190476045722053,-0.7190476045722053,1.0
5000,2.994681,45.19047619047619,-0.14537777,-0.8142857679298946,-0.8142857679298946,1.0
6000,2.994664,66.13333333333334,-0.07364771,-1.5966667075951895,-1.5966667075951895,1.0
7000,2.9946976,54.5,-0.004985229,-1.3472221725516849,-1.3472221725516849,1.0
8000,2.994737,57.11764705882353,-0.08217712,-1.2647060278583975,-1.2647060278583975,1.0
9000,2.994539,58.05882352941177,-0.06744463,-1.661764821585487,-1.661764821585487,1.0
10000,2.9945228,45.61904761904762,-0.19581626,-0.666666723432995,-0.666666723432995,1.0
11000,2.9944196,51.68421052631579,-0.088894084,-1.218421115687019,-1.218421115687019,1.0
12000,2.9945931,53.473684210526315,-0.16964209,-0.8078946784922951,-0.8078946784922951,1.0
13000,2.9946063,56.11764705882353,-0.08934925,-1.1147059307378882,-1.1147059307378882,1.0
14000,2.9946048,61.0,-0.058049854,-1.1470588761217453,-1.1470588761217453,1.0
15000,2.994583,54.88235294117647,-0.13858627,-0.9117648075608646,-0.9117648075608646,1.0
16000,2.9945664,51.26315789473684,-0.07411993,-0.9894737209144392,-0.9894737209144392,1.0
17000,2.9945881,49.0,-0.11193055,-1.1261904878275735,-1.1261904878275735,1.0
18000,2.9946272,46.904761904761905,-0.15276809,-0.9428571263949076,-0.9428571263949076,1.0
19000,2.994677,65.33333333333333,-0.09567836,-1.8566668391227723,-1.8566668391227723,1.0
20000,2.994597,47.86363636363637,-0.09506777,-0.7022727307948199,-0.7022727307948199,1.0
21000,2.9946418,41.76190476190476,-0.09163535,-0.9238096248535883,-0.9238096248535883,1.0
22000,2.9946938,39.541666666666664,-0.12507863,-0.9687499701976776,-0.9687499701976776,1.0
23000,2.994383,51.578947368421055,-0.118427664,-0.8763158117469988,-0.8763158117469988,1.0
24000,2.9943995,51.05,-0.07877503,-1.0184210883943658,-1.0184210883943658,1.0
25000,2.9946346,49.3,-0.11800957,-0.552380987576076,-0.552380987576076,1.0
26000,2.9945922,58.5625,-0.20517942,-1.2250000908970833,-1.2250000908970833,1.0
27000,2.9945617,50.0,-0.13152409,-0.8309524116061983,-0.8309524116061983,1.0
28000,2.9943545,59.125,-0.073078714,-1.138235362137065,-1.138235362137065,1.0
29000,2.9946737,48.95,-0.030967707,-1.1200000286102294,-1.1200000286102294,1.0
