Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.994681,49.5,-0.23368602,-0.7368421429081967,-0.7368421429081967,1.0
2000,2.9946237,57.529411764705884,-0.1427143,-1.2764707014841192,-1.2764707014841192,1.0
3000,2.9948828,51.0,-0.22901852,-0.8900000751018524,-0.8900000751018524,1.0
4000,2.9949007,50.21052631578947,-0.10092738,-1.0210526177757664,-1.0210526177757664,1.0
5000,2.9948175,46.476190476190474,-0.23170273,-0.5428571984881446,-0.5428571984881446,1.0
6000,2.9947224,48.25,-0.12384884,-0.9950000613927841,-0.9950000613927841,1.0
7000,2.9946856,42.95652173913044,-0.17698632,-0.5565218264641969,-0.5565218264641969,1.0
8000,2.9948308,51.7,-0.16236593,-0.7100000292062759,-0.7100000292062759,1.0
9000,2.9948952,47.6,-0.24676418,-0.9350000470876694,-0.9350000470876694,1.0
10000,2.9947066,61.0,-0.31479678,-1.153125086799264,-1.153125086799264,1.0
11000,2.994721,61.6875,-0.26925713,-1.715625137090683,-1.715625137090683,1.0
12000,2.9947917,56.611111111111114,-0.14527956,-0.6194445954428779,-0.6194445954428779,1.0
13000,2.9948974,56.294117647058826,-0.14857365,-1.3529412842848723,-1.3529412842848723,1.0
14000,2.9949658,61.3125,-0.12828995,-1.4156251102685928,-1.4156251102685928,1.0
15000,2.9948223,53.5,-0.19664176,-0.7222222404347526,-0.7222222404347526,1.0
16000,2.9945831,57.64705882352941,-0.19813925,-1.4382353845764608,-1.4382353845764608,1.0
17000,2.9947615,54.388888888888886,-0.2808852,-1.3916668428315058,-1.3916668428315058,1.0
18000,2.99489,55.27777777777778,-0.19611965,-1.40277784731653,-1.40277784731653,1.0
19000,2.9949372,56.64705882352941,-0.08161877,-1.3617647044798906,-1.3617647044798906,1.0
20000,2.9946842,44.73913043478261,-0.25708196,-0.543478285488875,-0.543478285488875,1.0
21000,2.994572,47.3,-0.1291767,-0.7024999633431435,-0.7024999633431435,1.0
22000,2.9946396,65.125,-0.073233776,-1.871875200420618,-1.871875200420618,1.0
23000,2.9946964,53.705882352941174,-0.22392176,-1.4352941653307747,-1.4352941653307747,1.0
