Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9947233,52.78947368421053,0.1764897,-0.7861111164093018,-0.7861111164093018,1.0
2000,2.9945583,64.70588235294117,0.086064175,-1.4588236510753632,-1.4588236510753632,1.0
3000,2.994377,47.0,0.10863783,-1.194444520605935,-1.194444520605935,1.0
4000,2.9944918,48.476190476190474,0.17323402,-1.0714286065527372,-1.0714286065527372,1.0
5000,2.9888058,46.138888888888886,0.09666417,-0.7795455022291704,-0.7795455022291704,1.0
6000,2.9783585,56.2,0.06452829,-0.726315804217991,-0.726315804217991,1.0
7000,2.9770555,51.31578947368421,0.064882286,-0.834210582469639,-0.834210582469639,1.0
8000,2.9785185,51.1578947368421,0.035325117,-0.8289473245018407,-0.8289473245018407,1.0
9000,2.9784467,48.85,0.10924415,-0.7475001275539398,-0.7475001275539398,1.0
10000,2.9677503,43.714285714285715,-0.0358471,-0.5869565943013066,-0.5869565943013066,1.0
11000,2.9559877,38.526315789473685,-0.12401384,-0.41041672974824905,-0.41041672974824905,1.0
12000,2.9484222,36.785714285714285,-0.09795432,-0.11964289311851774,-0.11964289311851774,1.0
13000,2.9450219,45.57142857142857,-0.029390166,-0.6690476252919152,-0.6690476252919152,1.0
14000,2.9371393,32.63414634146341,-0.07575514,-0.15357141835348948,-0.15357141835348948,1.0
15000,2.9059138,40.857142857142854,-0.2366683,-0.31296306407010116,-0.31296306407010116,1.0
16000,2.9092844,34.310344827586206,-0.14115316,0.1172413784882118,0.1172413784882118,1.0
17000,2.903671,33.62068965517241,-0.16133636,0.06551722411451669,0.06551722411451669,1.0
18000,2.902725,39.833333333333336,-0.006002257,0.014583340535561243,0.014583340535561243,1.0
19000,2.8798304,35.72727272727273,-0.070820004,-0.015517238912911251,-0.015517238912911251,1.0
20000,2.8731754,38.76190476190476,0.0006542255,-0.052083383003870644,-0.052083383003870644,1.0
21000,2.851933,35.73076923076923,-0.08592276,-0.14814818346941913,-0.14814818346941913,1.0
22000,2.8495276,39.833333333333336,-0.034189783,0.022916620286802452,0.022916620286802452,1.0
23000,2.8443637,35.28260869565217,0.05649462,0.38035714839185986,0.38035714839185986,1.0
24000,2.769786,30.1,0.11006402,0.19999999978712626,0.19999999978712626,1.0
25000,2.764904,32.310344827586206,0.07723154,0.3416666626930237,0.3416666626930237,1.0
26000,2.7781873,29.176470588235293,0.09657593,0.5045454709818868,0.5045454709818868,1.0
27000,2.7750971,26.194444444444443,0.0014468085,0.3891891837120056,0.3891891837120056,1.0
28000,2.7511873,29.114285714285714,0.16790499,0.42499999723890247,0.42499999723890247,1.0
29000,2.7302074,25.444444444444443,0.17765304,0.49864865396473856,0.49864865396473856,1.0
30000,2.7187982,30.71875,0.14055057,0.09843747410923243,0.09843747410923243,1.0
31000,2.739033,33.48275862068966,0.2338145,0.28103448193648767,0.28103448193648767,1.0
32000,2.7183387,27.48780487804878,0.18579403,0.5128571229321616,0.5128571229321616,1.0
33000,2.681625,23.545454545454547,0.14587061,0.38846152485945284,0.38846152485945284,1.0
