Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.9949389,45.0,0.13849495,-1.1476190175328935,-1.1476190175328935,1.0
2000,2.9947968,44.22727272727273,0.19134426,-0.731818212704225,-0.731818212704225,1.0
3000,2.9947128,52.473684210526315,0.16502671,-0.9263158848411158,-0.9263158848411158,1.0
4000,2.9948761,83.0,0.14837341,-2.4541669661800065,-2.4541669661800065,1.0
5000,2.994765,41.65217391304348,0.2319127,-0.7565217925154645,-0.7565217925154645,1.0
6000,2.9946387,51.1578947368421,0.15083532,-0.8894736923669514,-0.8894736923669514,1.0
7000,2.9947393,62.875,0.21588452,-2.237500114366412,-2.237500114366412,1.0
8000,2.994663,52.578947368421055,0.16084611,-1.0342105532947339,-1.0342105532947339,1.0
9000,2.994834,45.285714285714285,0.13799085,-1.292857133206867,-1.292857133206867,1.0
10000,2.994751,55.166666666666664,0.14526342,-1.0166667799154918,-1.0166667799154918,1.0
11000,2.9947417,59.64705882352941,0.20521946,-1.07647064854117,-1.07647064854117,1.0
12000,2.9947414,58.5625,0.1349082,-1.2875001952052116,-1.2875001952052116,1.0
13000,2.9948404,52.21052631578947,0.13320117,-1.1605263571990163,-1.1605263571990163,1.0
14000,2.9947438,47.476190476190474,0.14421666,-0.9666666899408612,-0.9666666899408612,1.0
15000,2.9948578,46.76190476190476,0.21887952,-0.6357143351009914,-0.6357143351009914,1.0
16000,2.994842,48.68181818181818,0.17694536,-0.7785714070002238,-0.7785714070002238,1.0
17000,2.9948008,60.733333333333334,0.14857897,-1.5875000674277544,-1.5875000674277544,1.0
18000,2.9947097,45.38095238095238,0.1482964,-1.2404762109120686,-1.2404762109120686,1.0
19000,2.986015,53.17857142857143,0.35846627,-0.9416667156749301,-0.9416667156749301,1.0
20000,2.9585638,45.19047619047619,0.5601206,-1.2194445133209229,-1.2194445133209229,1.0
21000,2.8591352,50.391304347826086,0.5340988,-0.5413043369417605,-0.5413043369417605,1.0
22000,2.8071861,38.31818181818182,0.688625,-0.322727307677269,-0.322727307677269,1.0
23000,2.6648595,38.9375,0.74203414,0.016666650772094727,0.016666650772094727,1.0
24000,2.541948,37.75,0.801291,-0.25714295109113056,-0.25714295109113056,1.0
25000,2.4993017,67.7,0.90961796,0.20806448305806807,0.20806448305806807,1.0
26000,2.6213923,19.0,0.8468557,-2.5000001958438327,-2.5000001958438327,1.0
27000,2.6800914,79.54545454545455,1.0231102,-3.600000304480394,-3.600000304480394,1.0
28000,2.63924,32.625,1.0518793,-1.0777780380513933,-1.0777780380513933,1.0
29000,2.6313639,53.35,1.0749797,0.2666667183240255,0.2666667183240255,1.0
30000,2.6218257,130.6,1.0452499,-0.8294118502560783,-0.8294118502560783,1.0
31000,2.5354862,18.0,1.1205875,-5.28888934188419,-5.28888934188419,1.0
32000,2.6032863,19.0,1.085433,-3.200000323355198,-3.200000323355198,1.0
33000,2.6386006,133.44444444444446,1.0540482,-3.4307694664368262,-3.4307694664368262,1.0
34000,2.760142,11.0,1.0970603,-4.921429003987994,-4.921429003987994,1.0
35000,2.6933842,75.05555555555556,1.1310021,-4.000000278155009,-4.000000278155009,1.0
36000,2.5744066,109.3,1.1277184,-1.7857144219534737,-1.7857144219534737,1.0
37000,2.5309958,35.5,1.2507021,-2.0000002213886807,-2.0000002213886807,1.0
38000,2.4036648,None,1.1639333,-3.668750412762165,-3.668750412762165,1.0
39000,2.5304341,96.88888888888889,1.1459689,-4.813636812296781,-4.813636812296781,1.0
40000,2.4402413,115.95,1.0838127,-2.23461563541339,-2.23461563541339,1.0
41000,2.3615925,26.0,1.0606492,-3.906250298023224,-3.906250298023224,1.0
42000,2.4268348,42.0,1.1059527,-4.293750308454037,-4.293750308454037,1.0
