Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1000,2.4840894,19.0,0.18254808,6.326530612244898,6.326530612244898,1.0
2000,2.4838428,18.617021276595743,0.32030383,45.372549019607845,45.372549019607845,1.0
3000,2.4823108,18.76923076923077,0.5247589,84.98039215686275,84.98039215686275,1.0
4000,2.4809287,19.0,0.9563884,27.0,27.0,1.0
5000,2.4796047,18.887096774193548,1.1663562,66.66,66.66,1.0
6000,2.478758,18.763157894736842,1.5405117,65.11764705882354,65.11764705882354,1.0
7000,2.4771879,18.46153846153846,1.8455393,83.5,83.5,1.0
8000,2.4752796,18.68,2.1633441,86.86,86.86,1.0
9000,2.4730446,18.80392156862745,2.7350445,65.3529411764706,65.3529411764706,1.0
10000,2.470742,18.884615384615383,2.7994788,26.54,26.54,1.0
11000,2.4665313,18.714285714285715,3.1773167,65.47058823529412,65.47058823529412,1.0
12000,2.4563062,19.0,3.6679254,27.16,27.16,1.0
13000,2.4493542,18.516666666666666,3.8396783,85.17647058823529,85.17647058823529,1.0
14000,2.4395406,18.41860465116279,4.1301994,122.63461538461539,122.63461538461539,1.0
15000,2.4361787,18.28,4.644755,125.01960784313725,125.01960784313725,1.0
16000,2.4271526,18.846153846153847,4.9174647,65.6078431372549,65.6078431372549,1.0
17000,2.4223359,18.755102040816325,5.271687,86.98,86.98,1.0
18000,2.4269106,18.53846153846154,5.486162,83.98076923076923,83.98076923076923,1.0
19000,2.427636,18.596153846153847,5.8598094,85.43137254901961,85.43137254901961,1.0
20000,2.4175236,18.66,6.3345623,67.14,67.14,1.0
21000,2.4121616,17.833333333333332,6.334107,177.0188679245283,177.0188679245283,1.0
22000,2.4206038,18.5,6.5277452,141.90384615384616,141.90384615384616,1.0
23000,2.4128387,18.346153846153847,7.1086555,180.17307692307693,180.17307692307693,1.0
24000,2.4024248,17.93846153846154,7.0963187,138.83018867924528,138.83018867924528,1.0
25000,2.3856845,18.1,7.811471,142.46153846153845,142.46153846153845,1.0
26000,2.3788743,17.9811320754717,7.811671,139.9056603773585,139.9056603773585,1.0
